filename,url,issue,timestamp
CreationWiki,https://creationwiki.org,Capture error,
Trentonian,https://trentonian.ca,Page load timeout,2026-06-04 00:12:42
Epping Forest Guardian,https://Eppingforestguardian.co.uk,Page load timeout,
Rense,https://rense.com,Page load timeout,
Lebanon Daily News,https://ldnews.com,Page load timeout,2026-06-03 23:56:56
WSAZ News Channel,https://wsaz.com,Page load timeout,2026-06-04 00:17:48
The Breach,https://breachmedia.ca,Navigation during capture,
The Gateway Pundit,https://thegatewaypundit.com,Page load timeout,2026-06-04 00:10:53
San Bernadino Sun,https://sbsun.com,Page load timeout,
Eurasia Review,https://eurasiareview.com,DNS failure — domain does not exist,
Milford Mercury,https://milfordmercury.co.uk,Page load timeout,
The Quint,https://thequint.com,DNS failure — domain does not exist,
BOOMLIVE,https://boomlive.in,Connection reset by server,
San Diego Union Tribune,https://sandiegouniontribune.com,Page load timeout,
Daily Stormer,https://dailystormer.in,DNS failure — domain does not exist,
Wide Awake Media,https://wide-awake-media.com,DNS failure — domain does not exist,
TheSpectator.info,https://thespectator.info,Page load timeout,2026-06-04 00:11:59
Newark Advocate,https://newarkadvocate.com,Page load timeout,2026-06-04 00:01:36
Above the Law,https://abovethelaw.com,Capture error,
The MacArthur Foundation,https://macfound.org,Page load timeout,2026-06-03 23:58:28
Ealing Times,https://ealingtimes.co.uk,Page load timeout,
Roll Call,https://rollcall.com,Page load timeout,2026-06-04 00:05:56
Technocrats.News,https://technocrats.news,Page load timeout,2026-06-04 00:09:52
Watauga Democrat,https://wataugademocrat.com,Page load timeout,2026-06-04 00:16:01
Pandemic News,https://pandemic.news,Page load timeout,2026-06-04 00:01:52
The Province,https://theprovince.com,Page load timeout,2026-06-04 00:12:05
Austin American-Statesman,https://statesman.com,Page load timeout,2026-06-04 00:10:35
D.C. Circuit Breaker,https://dccircuitbreaker.org,SSL/TLS certificate error,
Salt Lake Tribune,https://sltrib.com,Page load timeout,2026-06-04 00:09:47
Dallas Morning News,https://dallasnews.com,Page load timeout,
Eagle Tribune,https://eagletribune.com,Capture error,
Yorkshire Post,https://yorkshirepost.co.uk,Page load timeout,2026-06-04 00:18:14
DeadState,https://deadstate.org,DNS failure — domain does not exist,
WSVN,https://wsvn.com,Connection timed out,2026-06-04 00:16:48
Relevant Magazine,https://relevantmagazine.com,Page load timeout,
Leigh Journal,https://leighjournal.co.uk,Page load timeout,2026-06-03 23:58:05
Bristol World,https://bristolworld.com,Page load timeout,
Ruth Institute,https://ruthinstitute.org,Page load timeout,2026-06-04 00:05:14
LaRouche PAC,https://larouchepac.com,DNS failure — domain does not exist,
Public Religion Research Institute,https://prri.org,Page load timeout,2026-06-04 00:02:56
ABC News,https://abcnews.go.com,Connection reset by server,
Committee for Economic development,https://ced.org,SSL/TLS certificate error,
ScienceClowns,https://scienceclowns.com,Page load timeout,2026-06-04 00:07:35
Fitchburg Sentinel & Enterprise,https://sentinelandenterprise.com,Page load timeout,2026-06-04 00:08:58
Survival.News,https://survival.news,Page load timeout,2026-06-04 00:09:12
The Patriot Light,https://thepatriotlight.com,DNS failure — domain does not exist,
RadarOnline,https://radaronline.com,Page load timeout,
Monadnock Ledger-Transcript,https://home.ledgertranscript.com,Capture error,
TechGiants.News,https://techgiants.news,Page load timeout,2026-06-04 00:09:39
Blackpool Gazette,https://blackpoolgazette.co.uk,Page load timeout,
East Bay Times,https://eastbaytimes.com,Page load timeout,
911Truth.org,https://911truth.org,Capture error,
Red River Valley News,https://valleynewslive.com,Page load timeout,2026-06-04 00:13:54
Dekalb Daily Chronicle,https://shawlocal.com/daily-chronicle/,Page load timeout,2026-06-04 00:09:23
MedicalTyranny,https://medicaltyranny.com,Capture error,2026-06-03 23:57:36
Tyranny.News,https://tyranny.news,Page load timeout,2026-06-04 00:12:22
National File,https://nationalfile.com,Page load timeout,2026-06-03 23:59:13
TheQanons.com,https://theqanons.com,DNS failure — domain does not exist,
Variety Magazine,https://variety.com,Page load timeout,2026-06-04 00:13:58
Irvine Times,https://irvinetimes.com,Page load timeout,2026-06-03 23:55:33
The Mountain Times,https://wataugademocrat.com/mountaintimes/,Capture error,
News Addicts,https://newsaddicts.com,Page load timeout,2026-06-04 00:02:28
WayneDupree.com,https://waynedupree.com,SSL/TLS certificate error,
Alt News,https://altnews.in,DNS failure — domain does not exist,
The Bearded Patriot,https://thebeardedpatriot.com,Page load timeout,2026-06-04 00:10:27
Religion News Service,https://religionnews.com,Page load timeout,2026-06-04 00:04:53
Largs & Millport News,https://largsandmillportnews.com,Page load timeout,2026-06-03 23:56:40
Western Mass News,https://westernmassnews.com,Page load timeout,2026-06-04 00:16:05
San Jose Mercury News,https://mercurynews.com,Page load timeout,2026-06-04 00:00:11
Survive The News,https://survivethenews.com,Page load timeout,2026-06-04 00:10:08
Ludlow Advertiser,https://ludlowadvertiser.co.uk,Page load timeout,2026-06-03 23:58:32
Miami Independent,https://miamiindependent.com,Page load timeout,2026-06-03 23:59:39
Newport Daily News,https://newportri.com,Page load timeout,2026-06-04 00:01:30
Health Helpline,https://health-helpline.co.nz,DNS failure — domain does not exist,
YnetNews,https://ynetnews.com,Capture error,
Bay Area Reporter,https://ebar.com,Capture error,
The Last American Vagabond,https://thelastamericanvagabond.com,Page load timeout,2026-06-04 00:11:18
The Wellness Company,https://twc.health,Page load timeout,2026-06-04 00:13:38
Them.us,https://them.us,Page load timeout,2026-06-04 00:12:17
